india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
she was chief executive of the financial times for seven years resigning when the top job at its parent company pearsons went to a junior male colleague	sie war sieben jahre lang vorstandsvorsitzende der financial times und trat zuruck als der oberste posten des mutterunternehmens pearsons an einen jungeren mannlichen kollegen ging
her payoff is said to be close to million	ihre abfindung betrug angeblich fast million
her political rating is sturdy too	auch ihr politisches ranking ist solide
she was recommended to david cameron by lord browne the former head of bp when he was looking to bring private expertise into whitehall she became a cabinet office adviser	sie wurde david cameron von lord browne dem fruheren vorsitzenden von bp empfohlen als dieser nach mehr privatwirtschaftlichen kenntnissen in whitehall suchte sie wurde zur beraterin des kabinetts
her husband is a former tory councillor	ihr ehemann ist ein fruheres tory ratsmitglied
back in may i described the chairmans job as a poisoned chalice	schon im mai beschrieb ich die aufgabe des vorsitzenden mit einem vergifteten kelch
not only is the bbc a vast and complex entity at the heart of public life but there is an inner paradox to its structure	nicht nur steht die bbc als riesige und komplexe einheit im herzen des offentlichen lebens sondern es gibt auch ein internes paradox in seiner struktur
the trust faces in two directions inwards as the upper tier of the bbcs own management hierarchy but also outwards as the voice of public concern and disquiet when things go awry	das vertrauen wirkt in zwei richtungen nach innen auf die erste garde der eigenen managementhierarchie in der bbc aber auch nach auen als stimme offentlicher besorgnis und unruhe wenn die dinge falsch laufen
this is an almost untenable duopoly calling for complete rootandbranch reform	das sorgt fur ein fast unhaltbares duopol das nach einer vollstandigen umfassenden reform verlangt
but what incoming chairman would risk coming in crashing around and dismantling an institution as complex as a chinese dynasty in case they put themselves out of a job in the process	aber welcher neu ankommende vorsitzende wurde es riskieren anzutreten auf alles einzuschlagen und eine institution auseinanderzunehmen die so komplex ist wie eine chinesische dynastie wahrend er sich dabei selbst vielleicht um seinen job bringt
its a difficult call	es ist eine schwierige aufgabe
if that werent tough enough plenty of people are keen to see the bbc cut down in size its power its finances and its status overhauled	und als ware das nicht schon genug sind auch noch viele daran interessiert die bbc verkleinert zu sehen macht geld und status uberholt
as competitors circle ever closer and new technology challenges cosy old certainties the imminent negotiation of the licence fee is fraught with especial danger for the bbc	wahrend die konkurrenz naher ruckt und neue technologien alte bequeme sicherheiten bedrohen ist die anstehende verhandlung der lizenzgebuhren fur die bbc mit besonderen gefahren verbunden
for the modest sum of a year the british public buys into what is surely the greatest media enterprise in the world	fur die bescheidene summe von pro jahr kauft sich die britische offentlichkeit in das sicherlich grote medienunternehmen der welt ein
the bbc tells a good story it claims that its output reaches per cent of households and costs each one of them just a day	die bbc erzahlt eine gute geschichte sie sagt dass sie prozent aller haushalte erreicht und jeden davon nur pence pro tag kostet
whats more apparently the beebs popularity is rising per cent support today as against per cent years ago	und anscheinend steigt die bbc auf der beliebtheitsskala wieder nach oben prozent unterstutzen sie heute im vergleich zu prozent vor jahren
patterns of watching and using the bbc have changed i receive news headlines on my mobile phone these days and catch up on missed programmes with iplayer	die seh und nutzungsgewohnheiten fur die bbc haben sich verandert ich bekomme heutzutage nachrichtenschlagzeilen auf meinem handy und sehe verpasste programme spater auf meinem iplayer
but it remains a muchloved and formidable institution	aber sie bleibt eine sehr geliebte und beachtliche institution
it needs a formidable chairman i hope it has found one	sie braucht einen beachtlichen vorsitzenden ich hoffe sie hat ihn gefunden
texas perry says disparaging tweet unauthorized	perry aus texas sagt dass herabsetzender tweet nicht autorisiert war
a tweet from republican texas gov rick perrys verified account on sunday night included a disparaging image of the democratic district attorney who is at the center of his criminal indictment on charges of abuse of power	ein tweet vom offiziellen benutzerkonto des republikanischen gouverneurs von texas rick perry am sonntag enthielt eine herabsetzende bemerkung uber die demokratische bezirksstaatsanwaltin die im mittelpunkt einer strafrechtlichen anklage gegen ihn wegen missbrauchs der amtsgewalt steht
the tweet was later deleted followed by another from perrys account that disavowed the post	der tweet wurde spater geloscht und durch einen anderen von perrys benutzerkonto ersetzt der den vorherigen abstritt
a tweet just went out from my account that was unauthorized	gerade ist ein tweet von meinem konto aus versendet worden der nicht von mir autorisiert war
i do not condone the tweet and i have taken it down the later post said	ich billige den tweet nicht und habe ihn geloscht hie es in der spateren nachricht
perry aides did not immediately return messages seeking comment	mitarbeiter von perry antworteten nicht umgehend auf anfragen nach kommentaren
although the tweets were sent from perrys verified account it was unclear who does the actual posting for the feed	obwohl die tweets von perrys offiziellem benutzerkonto ausgingen war nicht klar wer tatsachlich den feed bedient
the earlier tweet posted an unflattering mock image of travis county district attorney rosemary lehmberg who was convicted of drunken driving in april	in dem fruheren tweet wurde ein unvorteilhaftes bild des bezirksstaatsanwaltin von travis county rosemary lehmberg gezeichnet die im april wegen trunkenheit am steuer verurteilt wurde
